session_id,packet_size_bytes,protocol_type,source_port_range,flags_present,duration_ms,packet_count,traffic_category
1,40,TCP,Dynamic,SYN,275,358,C3
2,64,TCP,Dynamic,SYN,22,3,C2
3,614,TCP,Well-Known,NONE,33,3,C1
4,1087,TCP,Well-Known,ACK,1055,107,C1
5,704,TCP,Well-Known,ACK,37,5,C1
6,74,ICMP,Dynamic,FIN,48,5,C2
7,327,TCP,Well-Known,ACK,1227,25,C1
8,728,TCP,Registered,SYN,680,61,C1
9,40,TCP,Dynamic,SYN,172,350,C3
10,1323,TCP,Registered,NONE,19,5,C1
11,84,ICMP,Dynamic,SYN,1,9,C2
12,1172,TCP,Well-Known,NONE,908,55,C1
13,840,TCP,Registered,ACK,47,3,C1
14,40,TCP,Dynamic,ACK,305,88,C3
15,74,TCP,Well-Known,SYN,36,1,C2
16,40,UDP,Dynamic,SYN,267,219,C3
17,2048,TCP,Dynamic,SYN,337,436,C3
18,434,TCP,Dynamic,NONE,60,14,C1
19,2048,TCP,Dynamic,SYN,157,607,C3
20,40,TCP,Dynamic,SYN,297,43,C3
21,40,TCP,Dynamic,SYN,279,93,C3
22,540,TCP,Well-Known,ACK,1052,67,C1
23,1128,TCP,Well-Known,ACK,38,4,C1
24,64,ICMP,Registered,SYN,24,1,C2
25,736,UDP,Well-Known,ACK,692,83,C1
26,1112,TCP,Well-Known,ACK,1458,53,C1
27,1500,TCP,Dynamic,SYN,175,288,C3
28,74,UDP,Dynamic,SYN,26,7,C2
29,1401,UDP,Dynamic,ACK,843,130,C1
30,84,TCP,Dynamic,NONE,39,2,C2
31,40,TCP,Dynamic,ACK,394,368,C3
32,2048,UDP,Dynamic,ACK,48,114,C3
33,1079,TCP,Registered,ACK,111,113,C1
34,74,TCP,Dynamic,FIN,83,1,C2
35,74,ICMP,Dynamic,SYN,30,1,C2
36,40,TCP,Registered,SYN,1,242,C3
37,64,ICMP,Dynamic,NONE,37,2,C2
38,64,TCP,Dynamic,SYN,31,8,C2
39,64,TCP,Dynamic,SYN,49,1,C2
40,74,ICMP,Dynamic,SYN,51,2,C2
41,74,UDP,Dynamic,NONE,11,5,C2
42,587,TCP,Well-Known,NONE,51,8,C1
43,1030,TCP,Well-Known,ACK,508,37,C1
44,64,TCP,Well-Known,SYN,40,2,C2
45,1018,TCP,Well-Known,ACK,1370,20,C1
46,995,UDP,Well-Known,ACK,1429,110,C1
47,84,TCP,Dynamic,NONE,1,2,C2
48,74,ICMP,Registered,SYN,38,10,C2
49,40,TCP,Dynamic,SYN,56,528,C3
50,581,UDP,Well-Known,ACK,21,8,C1
51,611,TCP,Registered,NONE,12,6,C1
52,843,TCP,Well-Known,NONE,550,85,C1
53,899,TCP,Well-Known,ACK,1270,119,C1
54,64,TCP,Dynamic,SYN,19,1,C2
55,1425,TCP,Well-Known,ACK,50,6,C1
56,1500,TCP,Dynamic,SYN,89,291,C3
